HoleID,X,Y,Average_Grade
GAIDD001,795747.37,7903428.24,0.22014701113393148
GAIDD002,795801.06,7903486.66,0.530471980323074
GAIDD003,795734.06,7903546.32,0.4926872178109916
GAIDD004,795826.49,7903346.28,3.424041538985359
GAIDD005,795826.49,7903346.28,1.3069421702404156
GAIDD006,795625.21,7903598.72,0.49338936620595153
GAIDD007,795896.62,7903274.86,0.8896301629405091
GAIDD008,795569.81,7903654.39,0.33946413230240563
GAIDD009,795885.38,7903421.66,0.5157071859627776
GAIDD010,795982.52,7903075.33,0.5052252858103566
GAIDD011,796063.85,7903011.37,1.371669838781908
GAIDD012,796130.09,7902940.57,0.6235696596617848
GAIDD013,795973.0,7903210.0,0.37410865738518123
GAIDD014,796033.0,7903128.0,0.3878926241846464
GAIDD015,796032.0,7903277.0,0.2109615166735903
GAIDD016,796096.0,7903047.0,0.6788458455784132
GAIDD017,795745.0,7903667.0,0.5129243714938728
GAIDD018,796195.0,7903013.0,0.20089737858158932
GAIDD019,795823.0,7903500.0,0.47395353793691397
GAIDD020,795898.0,7903207.0,1.8534546181527387
GAIDD021,795820.0,7903497.0,1.124668833450457
GAIDD022,795783.0,7903373.0,0.6156629814801775
GAIDD023,795962.0,7903351.0,0.88130092236741
GAIDD024,795934.0,7903242.0,1.4097405841660273
GAIDD025,795859.0,7903309.0,0.7418492248454759
GAIDD026,795744.0,7903665.0,0.3473915453915452
GAIDD027,795805.0,7903631.0,0.28452805534204406
GAIDD028,795973.0,7903289.0,0.05000000000000001
GAIDD029,795986.0,7903303.0,0.5588118432574425
GAIDD030,795765.0,7903748.0,0.3240589751853044
GAIDD031,796198.0,7903015.0,0.35971901849988364
GAIDD032,796076.0,7903404.0,0.24171309613928862
GAIDD033,795764.0,7903752.0,0.30127722242056454
GAIDD034,795698.0,7903760.0,0.7184879484304932
GAIDD035,795902.0,7903600.0,0.5191486824847976
GAIDD036,795835.0,7903667.0,0.3081643784088771
GAIDD037,795904.0,7903602.0,0.27238307147398055
GAIDD038,795850.0,7903308.0,0.7338318783956983
GAIDD039,795927.0,7903311.0,1.702323290845888
GAIDD040,796002.0,7903162.0,0.7268578161822458
GAIDD041,796046.0,7903219.0,0.31995200614321323
GAIDD043,795583.0,7903453.0,0.33002814919071033
GAIDD044,795664.0,7903327.0,0.08531021897810218
GAIDD045,795539.0,7903549.0,0.17867597496389048
GAIDDC03,795809.0,7903806.0,0.644218740399388
GAIDDC05,795855.0,7903831.0,0.5160177877252915
GAIDDC08,795922.0,7903631.0,0.2591044077005957
GAIDDC08A,795926.0,7903635.0,0.5316740186084438
GAIDDC08W,795922.0,7903631.0,0.5047667386609099
GAIDDC10,796050.0,7903745.0,1.4682896433175587
GAIDDC13,795979.0,7903362.0,0.865659662991475
GAIDDC14,796057.0,7903476.0,0.6244836894358784
GAIDDC15,796108.0,7903535.0,0.5644889827556168
GAIDDE05,796050.0,7903156.0,0.43911292810860914
GAIDDE06,796077.0,7903177.0,0.5571199999999998
GAIDDE20,796184.0,7902909.0,1.061212715001089
GAIDDE21,796218.0,7902984.0,0.6544870011768483
GAIDDE26,796200.0,7902860.0,0.036423258958755915
GAIDDH01,795378.0,7903759.0,0.8390912469801158
GAIDDH02,795351.0,7903726.0,0.6375487749546271
GAIDDH07A,795375.0,7903675.0,0.3278114758982296
GAIDDH08,795492.0,7903727.0,2.0377515035538525
GAIDDH08A,795454.0,7903697.0,0.4548998068565912
GAIDDH09,795500.0,7903737.0,0.6711911357340717
GAIDDH10,795511.0,7903759.0,0.3246315991185205
GAIDDH13,795546.0,7903721.0,0.6180185016932356
GAIDDH14,795549.0,7903725.0,0.6284493307839387
GAIDDJ01,795317.0,7904001.0,0.16391466445733222
GAIDDJ02,795341.0,7904019.0,0.19144703190200568
GAIDDJ03,795341.0,7904019.0,0.6285296104480972
GAIDDJ06,795354.0,7903982.0,0.35355629139072864
GAIDDJ08,795331.0,7903855.0,1.0557253086419753
GAIDDJ09,795302.0,7903822.0,0.27401195367949316
GAIDDJ13,795338.0,7903786.0,1.0228021264028353
GAIDDJ14,795316.0,7903761.0,0.540046966731899
GAIRC027,795871.0,7903167.0,0.23485136103151863
GAIRC028,795870.0,7903239.0,0.4963309352517985
GAIRC029,795787.0,7903302.0,0.3475
GAIRC030,795756.0,7903266.0,0.3105
GAIRC031,795747.0,7903338.0,0.267
GAIRC032,795657.0,7903536.0,0.7848877485567674
GAIRC033,795622.0,7903581.0,1.2277551020408164
GAIRC033DD,795622.0,7903581.0,1.2737334357595633
GAIRC034,795590.0,7903610.0,0.4317780343483898
GAIRC035,795963.0,7903021.0,0.5992537313432835
GAIRC036,796026.0,7902964.0,0.5105833333333334
GAIRC037,796065.0,7902936.0,0.13112244897959183
GAIRC038,796101.0,7902900.0,1.09234375
GAIRC039,795610.0,7903633.0,0.28153846153846157
GAIRC040,795708.0,7903519.0,0.5625333333333333
GAIRC041DD,795696.0,7903579.0,1.8988749506903355
GAIRC042,795772.0,7903510.0,1.144086956521739
GAIRC043,795739.0,7903474.0,2.155263157894737
GAIRC044,795943.0,7903178.0,0.6022875816993465
GAIRC045,795983.0,7903127.0,0.6320071621621621
GAIRC046DD,796014.0,7903181.0,0.9395719448836684
GAIRC047,796003.0,7903085.0,0.33834645669291336
GAIRC048,796105.0,7902980.0,1.9312352941176472
GAIRC049,796028.0,7903045.0,0.16109947643979058
GAIRC050,795973.0,7902965.0,0.9863636363636363
GAIRCH06,795394.0,7903698.0,0.14727941176470588
GAIRCH07,795375.0,7903675.0,0.03681818181818182
